ProductID	ID	Name	Icon	TypeID	Producer	Repertory	Price	Kwh	Ghs	Electric	ManageCost	Output	Minimum
900001	1	蚂蚁S9i 14T	icon_kuangji1	1	1.0	100	5500.0	1.32	14.0	12.672	0.5	7.0	3600
900002	2	蚂蚁S9i 13.5T	icon_kuangji1	1	1.0	100	5300.0	1.31	13.5	12.576	0.5	6.75	3600
900003	3	蚂蚁S9i 13T	icon_kuangji1	1	1.0	100	5100.0	1.29	13.0	12.384	0.5	6.5	3600
900004	4	蚂蚁T9	icon_kuangji1	1	1.0	100	3000.0	1.43	10.5	13.728	0.5	5.25	7200
900005	5	蚂蚁V9	icon_kuangji1	1	1.0	100	1100.0	1.027	4.0	9.8592	0.5	2.0	10800
900006	6	蚂蚁V9	icon_kuangji1	1	1.0	100	1100.0	1.027	4.0	9.8592	0.5	2.0	10800
900007	7	阿瓦隆A841	icon_kuangji2	2	1.0	100	7600.0	1.29	13.0	12.384	0.5	6.5	3600
900008	8	阿瓦隆A821	icon_kuangji2	2	1.0	100	5600.0	1.2	11.0	11.52	0.5	5.5	3600
900009	9	阿瓦隆A841	icon_kuangji2	2	1.0	100	7600.0	1.29	13.0	12.384	0.5	6.5	3600
900010	10	阿瓦隆A821	icon_kuangji2	2	1.0	100	5600.0	1.2	11.0	11.52	0.5	5.5	3600
900011	11	阿瓦隆A841	icon_kuangji2	2	1.0	100	7600.0	1.29	13.0	12.384	0.5	6.5	3600
900012	12	阿瓦隆A821	icon_kuangji2	2	1.0	100	5600.0	1.2	11.0	11.52	0.5	5.5	3600
900013	13	翼比特E9.3	icon_kuangji3	3	1.0	100	6150.0	1.29	13.0	12.384	0.5	6.5	3600
900014	14	翼比特E9.2	icon_kuangji3	3	1.0	100	7185.0	1.2	11.0	11.52	0.5	5.5	3600
900015	15	翼比特E10	icon_kuangji3	3	1.0	100	34000.0	1.2	9.0	11.52	0.5	4.5	7200
900016	16	翼比特E9+	icon_kuangji3	3	1.0	100	7500.0	1.29	7.0	12.384	0.5	3.5	7200
900017	17	翼比特E9	icon_kuangji3	3	1.0	100	4800.0	1.2	5.0	11.52	0.5	2.5	7200
900018	18	翼比特E11	icon_kuangji3	3	1.0	100	10000.0	1.29	3.0	12.384	0.5	1.5	10800
